,Nr. of Sect. Chd,min. Chd Diameter,max. Chd Diameter,initial $\mu$ 3D,initial $\sigma$ 3D,$\mu$ Fit 3D,$\sigma$ Fit 3D,mean 3D,median 3D,mode 3D,$\mu$ Fit 2D,$\sigma$ Fit 2D,mean 2D,median 2D,mode 2D
6362,7688,400,4000,6.6,0.15,6.599795189714719,0.15002557383514709,743.2623114724485,734.9446496031146,718.5875268152599,6.324141908013606,0.4327379971060614,612.6372476317231,557.8788968062843,462.60785690069525
6363,7446,0,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6364,7446,20,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6365,7446,40,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6366,7446,60,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6367,7446,80,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6368,7446,100,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6369,7446,120,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6370,7446,140,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6371,7446,160,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6372,7446,180,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6373,7446,200,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6374,7446,220,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6375,7446,240,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6376,7446,260,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6377,7446,280,4000,6.6,0.2,6.599979629895671,0.1998837200734907,749.9123857232988,735.0802154287857,706.2901485471293,6.339401224789894,0.4565879563173663,628.689507290719,566.4570293881212,459.8630201873592
6378,7445,300,4000,6.6,0.2,6.5999842307323275,0.19987362934263037,749.9143234354734,735.0835974205662,706.2962471632173,6.3394922341332505,0.4565510820848518,628.7361412425503,566.5085846163737,459.9203597796275
6379,7445,320,4000,6.6,0.2,6.599993674445077,0.19985443617188617,749.9185287329996,735.0905393716861,706.3083360649727,6.3394922341332505,0.4565510820848518,628.7361412425503,566.5085846163737,459.9203597796275
